2.357143 0.250000 | 3.836200 2.096652 0.010239
2.500000 0.250000 | 4.054091 2.106355 0.010262
0.500000 0.285714 | 3.598602 1.317470 0.008116
0.642857 0.285714 | 3.385802 0.719639 0.005998
0.785714 0.285714 | 3.145427 0.206471 0.003213
0.928571 0.285714 | 3.019363 0.046344 0.001522
1.071429 0.285714 | 3.001843 0.017100 0.000925
1.214286 0.285714 | 3.031834 0.066090 0.001818
1.357143 0.285714 | 3.109686 0.175921 0.002966
1.500000 0.285714 | 3.130499 0.396941 0.004455
1.642857 0.285714 | 3.275920 0.510207 0.005051
1.785714 0.285714 | 3.410317 0.730524 0.006044
1.928571 0.285714 | 3.493269 1.053302 0.007257
2.071429 0.285714 | 3.613665 1.332669 0.008163
2.214286 0.285714 | 3.771565 1.551452 0.008808
2.357143 0.285714 | 3.935038 1.891500 0.009725
2.500000 0.285714 | 3.955752 2.454258 0.011078
0.500000 0.321429 | 3.792079 1.613237 0.008981
0.642857 0.321429 | 3.244298 0.567728 0.005328
0.785714 0.321429 | 3.085959 0.176495 0.002971
0.928571 0.321429 | 3.008807 0.031867 0.001262
1.071429 0.321429 | 3.010407 0.013375 0.000818
1.214286 0.321429 | 3.040438 0.080175 0.002002
1.357143 0.321429 | 3.135760 0.169367 0.002910
1.500000 0.321429 | 3.184635 0.372869 0.004318
1.642857 0.321429 | 3.280783 0.591954 0.005440
1.785714 0.321429 | 3.366514 0.789316 0.006282
1.928571 0.321429 | 3.469026 1.194852 0.007729
2.071429 0.321429 | 3.617195 1.298667 0.008058
2.214286 0.321429 | 3.766663 1.612527 0.008979
2.357143 0.321429 | 3.859238 2.014071 0.010035
2.500000 0.321429 | 4.069235 2.320287 0.010771
0.500000 0.357143 | 3.680572 1.480930 0.008605
0.642857 0.357143 | 3.294231 0.621918 0.005576
0.785714 0.357143 | 3.105286 0.162282 0.002849
0.928571 0.357143 | 3.006991 0.019421 0.000985
1.071429 0.357143 | 3.013981 0.011349 0.000753
1.214286 0.357143 | 3.052247 0.086600 0.002081
1.357143 0.357143 | 3.090399 0.232924 0.003413
1.500000 0.357143 | 3.208914 0.359584 0.004240
1.642857 0.357143 | 3.295209 0.651508 0.005707
1.785714 0.357143 | 3.436012 0.807967 0.006356
1.928571 0.357143 | 3.553374 1.131686 0.007522
2.071429 0.357143 | 3.643987 1.470655 0.008575
2.214286 0.357143 | 3.847830 1.614808 0.008986
2.357143 0.357143 | 3.966311 1.951956 0.009879
2.500000 0.357143 | 4.060580 2.407925 0.010973
0.500000 0.392857 | 3.716284 1.426190 0.008444
0.642857 0.392857 | 3.196336 0.466252 0.004828
0.785714 0.392857 | 3.060219 0.131750 0.002567
0.928571 0.392857 | 3.003869 0.011037 0.000743
1.071429 0.392857 | 3.010461 0.015674 0.000885
1.214286 0.392857 | 3.048628 0.099828 0.002234
1.357143 0.392857 | 3.151251 0.222179 0.003333
1.500000 0.392857 | 3.229403 0.405031 0.004500
1.642857 0.392857 | 3.324573 0.640491 0.005659
1.785714 0.392857 | 3.346309 1.025763 0.007162
1.928571 0.392857 | 3.560949 1.153544 0.007595
2.071429 0.392857 | 3.685244 1.428202 0.008450
2.214286 0.392857 | 3.845688 1.670594 0.009139
2.357143 0.392857 | 3.922366 2.371322 0.010889
2.500000 0.392857 | 4.128626 2.459995 0.011091
0.500000 0.428571 | 3.548911 1.150472 0.007584
0.642857 0.428571 | 3.223659 0.391555 0.004425
0.785714 0.428571 | 3.031740 0.103889 0.002279
0.928571 0.428571 | 3.007848 0.008249 0.000642
1.071429 0.428571 | 3.018610 0.018341 0.000958
1.214286 0.428571 | 3.080832 0.098970 0.002225
1.357143 0.428571 | 3.104295 0.267986 0.003661
1.500000 0.428571 | 3.235096 0.439687 0.004689
1.642857 0.428571 | 3.314023 0.706585 0.005944
1.785714 0.428571 | 3.475476 0.905928 0.006730
1.928571 0.428571 | 3.611622 1.126151 0.007504
2.071429 0.428571 | 3.722619 1.401101 0.008370
2.214286 0.428571 | 3.795740 1.777942 0.009429
2.357143 0.428571 | 3.974786 2.341802 0.010821
2.500000 0.428571 | 4.126510 2.326229 0.010785
0.500000 0.464286 | 3.610257 1.238822 0.007870
0.642857 0.464286 | 3.185152 0.421834 0.004593
0.785714 0.464286 | 3.044978 0.102790 0.002267
0.928571 0.464286 | 3.005980 0.006608 0.000575
1.071429 0.464286 | 3.023315 0.025099 0.001120
1.214286 0.464286 | 3.069891 0.124633 0.002496
1.357143 0.464286 | 3.176074 0.248345 0.003524
1.500000 0.464286 | 3.194141 0.532468 0.005160
1.642857 0.464286 | 3.292788 0.775480 0.006227
1.785714 0.464286 | 3.494182 0.970776 0.006967
1.928571 0.464286 | 3.633086 1.138542 0.007545
2.071429 0.464286 | 3.710704 1.483455 0.008612
2.214286 0.464286 | 3.906284 1.777243 0.009427
2.357143 0.464286 | 3.999226 2.248163 0.010602
2.500000 0.464286 | 4.185403 2.497186 0.011174
0.500000 0.500000 | 3.539668 1.375424 0.008293
0.642857 0.500000 | 3.236784 0.395148 0.004445
0.785714 0.500000 | 3.045670 0.095299 0.002183
0.928571 0.500000 | 2.996583 0.005127 0.000506
1.071429 0.500000 | 3.031347 0.031628 0.001258
1.214286 0.500000 | 3.072352 0.147770 0.002718
1.357143 0.500000 | 3.159198 0.279507 0.003738
1.500000 0.500000 | 3.296009 0.444682 0.004715
1.642857 0.500000 | 3.355257 0.789276 0.006282
1.785714 0.500000 | 3.529753 0.929601 0.006818
1.928571 0.500000 | 3.584240 1.278082 0.007994
2.071429 0.500000 | 3.662154 1.733403 0.009310
2.214286 0.500000 | 3.790871 2.121289 0.010299
2.357143 0.500000 | 4.062605 2.150047 0.010368
2.500000 0.500000 | 4.236546 2.428432 0.011019
