0.200000 71.784162 58.016535 0.024087
0.220408 67.640747 36.883319 0.019205
0.240816 64.604346 33.518801 0.018308
0.261224 60.663746 25.942202 0.016107
0.281633 58.549921 21.018352 0.014498
0.302041 56.648336 14.697200 0.012123
0.322449 55.062799 9.316067 0.009652
0.342857 53.590213 7.708831 0.008780
0.363265 52.506514 5.157140 0.007181
0.383673 52.245840 3.611374 0.006009
0.404082 50.850221 2.158514 0.004646
0.424490 50.832147 1.544993 0.003931
0.444898 50.333498 0.655840 0.002561
0.465306 50.033934 0.270202 0.001644
0.485714 50.018955 0.041114 0.000641
0.506122 50.005534 0.007644 0.000276
0.526531 50.064913 0.148245 0.001218
0.546939 50.112463 0.471426 0.002171
0.567347 50.565711 0.776237 0.002786
0.587755 50.709990 1.205858 0.003473
0.608163 51.057435 1.942231 0.004407
0.628571 51.585986 2.555010 0.005055
0.648980 51.889666 2.990514 0.005469
0.669388 52.263880 3.968793 0.006300
0.689796 52.832062 5.222608 0.007227
0.710204 52.851603 6.728650 0.008203
0.730612 53.950787 8.244691 0.009080
0.751020 54.207208 8.484665 0.009211
0.771429 54.638250 10.026204 0.010013
0.791837 54.858578 11.128375 0.010549
0.812245 55.815007 13.273623 0.011521
0.832653 56.569035 12.018426 0.010963
0.853061 56.824375 16.980570 0.013031
0.873469 57.369979 17.218682 0.013122
0.893878 58.087487 17.294726 0.013151
0.914286 58.973411 24.419101 0.015627
0.934694 59.784831 23.654240 0.015380
0.955102 61.068010 23.439614 0.015310
0.975510 61.860260 28.980356 0.017024
0.995918 61.496690 28.570202 0.016903
1.016327 62.430347 32.931574 0.018147
1.036735 63.168567 36.254034 0.019040
1.057143 64.340072 38.391869 0.019594
1.077551 65.639471 34.498788 0.018574
1.097959 65.715279 41.176480 0.020292
1.118367 67.173059 44.116234 0.021004
1.138776 67.228274 52.490350 0.022911
1.159184 69.286461 53.636978 0.023160
1.179592 69.082409 60.072152 0.024510
1.200000 69.700507 56.317723 0.023731
